0 0 0 34,188,247,205 
1 1 0 53,210,88,220 
2 1 0 131,207,175,221 
3 1 0 200,209,246,221 
4 1 0 290,209,328,223 
5 1 0 351,211,396,224 
6 1 0 50,226,113,238 
7 1 0 131,228,185,238 
8 1 0 200,226,280,239 
9 1 0 294,225,340,239 
10 1 0 354,225,482,239 
11 0 0 33,253,249,267 
12 1 11 52,272,108,281 
13 1 11 132,271,176,285 
14 1 11 205,271,240,284 
15 1 11 287,272,362,284 
16 1 11 55,286,87,300 
17 1 11 133,288,188,301 
18 1 11 206,288,264,301 
19 1 11 293,289,486,302 
20 0 0 31,314,224,328 
21 1 20 52,334,184,344 
22 1 20 54,347,191,362 
23 1 20 54,366,186,376 
24 1 20 51,378,286,395 
